EmployeeID,Username,FirstName,LastName,Email,HireDate,Age,Gender,Phone,Site,Role,Department,ShiftID,ShiftDate,HoursWorked,OreExtracted,OreType,Incident,SafetyScore
1,eve_thomas_580,Eve,Thomas,eve_thomas_580@miningco.com,2022-11-28,63.0,M,(951)208-9689,Mine D,Engineer,Maintenance,,,,,,,
2,leo_martinez_836,Leo,Martinez,,2015-10-25,61.0,Other,(333)274-1864,Mine A,Miner,Operations,1.0,2017-07-20,12.0,961.01,Iron,None,59.0
2,leo_martinez_836,Leo,Martinez,leo_martinez_836@miningco.com,,61.0,Other,(333)274-1864,Mine A,Miner,Operations,2.0,2017-06-27,11.0,532.85,Coal,None,98.0
2,leo_martinez_836,Leo,Martinez,leo_martinez_836@miningco.com,2015-10-25,61.0,Other,(333)274-1864,Mine A,Miner,Operations,3.0,2016-09-22,5.0,311.32,Copper,,40.0
2,leo_martinez_836,Leo,Martinez,leo_martinez_836@miningco.com,2015-10-25,61.0,Other,,Mine A,Miner,Operations,4.0,2016-01-22,9.0,,Iron,None,12.0
2,leo_martinez_836,Leo,Martinez,leo_martinez_836@miningco.com,2015-10-25,61.0,Other,(333)274-1864,Mine A,Miner,Operations,,2016-06-08,12.0,358.69,Copper,Major Accident,73.0
2,leo_martinez_836,Leo,Martinez,leo_martinez_836@miningco.com,,61.0,Other,(333)274-1864,Mine A,Miner,Operations,6.0,2016-01-01,12.0,97.25,Gold,Equipment Failure,49.0
3,frank_jackson_355,Frank,Jackson,frank_jackson_355@miningco.com,2021-10-05,28.0,Other,(740)786-1558,Mine E,Engineer,Maintenance,7.0,2022-12-17,9.0,641.25,Gold,Major Accident,68.0
3,frank_jackson_355,Frank,Jackson,frank_jackson_355@miningco.com,2021-10-05,28.0,Other,(740)786-1558,Mine E,Engineer,Maintenance,8.0,2021-10-16,8.0,650.72,Copper,Major Accident,9.0
3,frank_jackson_355,Frank,Jackson,frank_jackson_355@miningco.com,2021-10-05,28.0,Other,(740)786-1558,Mine E,Engineer,Maintenance,9.0,2022-07-19,11.0,159.24,Iron,Major Accident,76.0
3,frank_jackson_355,Frank ,Jackson,frank_jackson_355@miningco.com,2021-10-05,28.0,Other,(740)786-1558,Mine E,Engineer,Maintenance,10.0,2021-03-03,12.0,119.99,Coal,None,
3,frank_jackson_355,Frank,Jackson,frank_jackson_355@miningco.com,2021-10-05,28.0,Other,(740)786-1558,Mine E,Engineer,Maintenance,11.0,2023-02-15,9.0,941.41,Coal,None,61.0
3,frank_jackson_355,Frank,Jackson,frank_jackson_355@miningco.com,2021-10-05,28.0,Other,(740)786-1558,Mine E,Engineer,Maintenance,12.0,2022-08-02,12.0,0.0,,Environmental,21.0
3,frank_jackson_355,Frank,Jackson,frank_jackson_355@miningco.com,2021-10-05,28.0,Other,(740)786-1558,Mine E,Engineer,Maintenance,13.0,2023-03-07,8.0,51.74,Iron,Major Accident,85.0
3,frank_jackson_355,Frank,Jackson,frank_jackson_355@miningco.com,,28.0,Other,(740)786-1558,Mine E,Engineer,Maintenance,14.0,2022-05-01,10.0,0.0,,,94.0
3,frank_jackson_355,Frank,Jackson,frank_jackson_355miningco.com,2021-10-05,28.0,Other,(740)786-1558,Mine E,Engineer,Maintenance,15.0,2022-09-14,8.0,380.6,Coal,Equipment Failure,24.0
